,jID,moment,cpu_rate,mem_usage,disk_io_time,disk_space
2011-05-01 00:10:00,6176858948,600000000.0,0.668381,0.1587458,0.0062236321,0.004190895
2011-05-01 00:11:00,6176858948,660000000.0,0.668381,0.1587458,0.0062236321,0.004190895
2011-05-01 00:12:00,6176858948,720000000.0,0.668381,0.1587458,0.0062236321,0.004190895
2011-05-01 00:13:00,6176858948,780000000.0,0.668381,0.1587458,0.0062236321,0.004190895
2011-05-01 00:14:00,6176858948,840000000.0,0.668381,0.1587458,0.0062236321,0.004190895
2011-05-01 00:15:00,6176858948,900000000.0,0.73912881,0.16433665,0.0020724768,0.0041889877
2011-05-01 00:16:00,6176858948,960000000.0,0.73912881,0.16433665,0.0020724768,0.0041889877
2011-05-01 00:17:00,6176858948,1020000000.0,0.73912881,0.16433665,0.0020724768,0.0041889877
2011-05-01 00:18:00,6176858948,1080000000.0,0.73912881,0.16433665,0.0020724768,0.0041889877
2011-05-01 00:19:00,6176858948,1140000000.0,0.73912881,0.16433665,0.0020724768,0.0041889877
2011-05-01 00:20:00,6176858948,1200000000.0,0.558318,0.1649203,0.000704743,0.004188033
2011-05-01 00:21:00,6176858948,1260000000.0,0.558318,0.1649203,0.000704743,0.004188033
2011-05-01 00:22:00,6176858948,1320000000.0,0.558318,0.1649203,0.000704743,0.004188033
2011-05-01 00:23:00,6176858948,1380000000.0,0.558318,0.1649203,0.000704743,0.004188033
2011-05-01 00:24:00,6176858948,1440000000.0,0.558318,0.1649203,0.000704743,0.004188033
2011-05-01 00:25:00,6176858948,1500000000.0,0.539101,0.15656321,0.0013628388,0.004188033
2011-05-01 00:26:00,6176858948,1560000000.0,0.539101,0.15656321,0.0013628388,0.004188033
2011-05-01 00:27:00,6176858948,1620000000.0,0.539101,0.15656321,0.0013628388,0.004188033
2011-05-01 00:28:00,6176858948,1680000000.0,0.539101,0.15656321,0.0013628388,0.004188033
2011-05-01 00:29:00,6176858948,1740000000.0,0.539101,0.15656321,0.0013628388,0.004188033
2011-05-01 00:30:00,6176858948,1800000000.0,0.95918741,0.18737062,0.0075681171,0.0041899413
2011-05-01 00:31:00,6176858948,1860000000.0,0.95918741,0.18737062,0.0075681171,0.0041899413
2011-05-01 00:32:00,6176858948,1920000000.0,0.95918741,0.18737062,0.0075681171,0.0041899413
2011-05-01 00:33:00,6176858948,1980000000.0,0.95918741,0.18737062,0.0075681171,0.0041899413
2011-05-01 00:34:00,6176858948,2040000000.0,0.95918741,0.18737062,0.0075681171,0.0041899413
2011-05-01 00:35:00,6176858948,2100000000.0,1.210667,0.20695678,0.0044965488,0.0041899413
2011-05-01 00:36:00,6176858948,2160000000.0,1.210667,0.20695678,0.0044965488,0.0041899413
2011-05-01 00:37:00,6176858948,2220000000.0,1.210667,0.20695678,0.0044965488,0.0041899413
2011-05-01 00:38:00,6176858948,2280000000.0,1.210667,0.20695678,0.0044965488,0.0041899413
2011-05-01 00:39:00,6176858948,2340000000.0,1.210667,0.20695678,0.0044965488,0.0041899413
2011-05-01 00:40:00,6176858948,2400000000.0,0.418271,0.17028956,0.0015963639,0.0041870792
2011-05-01 00:41:00,6176858948,2460000000.0,0.418271,0.17028956,0.0015963639,0.0041870792
2011-05-01 00:42:00,6176858948,2520000000.0,0.418271,0.17028956,0.0015963639,0.0041870792
2011-05-01 00:43:00,6176858948,2580000000.0,0.418271,0.17028956,0.0015963639,0.0041870792
2011-05-01 00:44:00,6176858948,2640000000.0,0.418271,0.17028956,0.0015963639,0.0041870792
2011-05-01 00:45:00,6176858948,2700000000.0,0.636748,0.1731511,0.0016097112,0.0041823102
2011-05-01 00:46:00,6176858948,2760000000.0,0.636748,0.1731511,0.0016097112,0.0041823102
2011-05-01 00:47:00,6176858948,2820000000.0,0.636748,0.1731511,0.0016097112,0.0041823102
2011-05-01 00:48:00,6176858948,2880000000.0,0.636748,0.1731511,0.0016097112,0.0041823102
2011-05-01 00:49:00,6176858948,2940000000.0,0.636748,0.1731511,0.0016097112,0.0041823102
2011-05-01 00:50:00,6176858948,3000000000.0,0.603122,0.1616685,0.0006170105,0.0041851722
2011-05-01 00:51:00,6176858948,3060000000.0,0.603122,0.1616685,0.0006170105,0.0041851722
2011-05-01 00:52:00,6176858948,3120000000.0,0.603122,0.1616685,0.0006170105,0.0041851722
2011-05-01 00:53:00,6176858948,3180000000.0,0.603122,0.1616685,0.0006170105,0.0041851722
2011-05-01 00:54:00,6176858948,3240000000.0,0.603122,0.1616685,0.0006170105,0.0041851722
2011-05-01 00:55:00,6176858948,3300000000.0,0.806979,0.1684955,0.0009289518,0.0041842189
2011-05-01 00:56:00,6176858948,3360000000.0,0.806979,0.1684955,0.0009289518,0.0041842189
2011-05-01 00:57:00,6176858948,3420000000.0,0.806979,0.1684955,0.0009289518,0.0041861259
2011-05-01 00:58:00,6176858948,3480000000.0,0.806979,0.1684955,0.0009289518,0.0041861259
2011-05-01 00:59:00,6176858948,3540000000.0,0.806979,0.1684955,0.0009289518,0.0041861259
2011-05-01 01:00:00,6176858948,3600000000.0,0.617487,0.15593353,0.002476678,0.0041889893
