,jID,moment,cpu_rate,mem_usage,disk_io_time,disk_space
2011-05-01 00:10:00,2902878580,600000000.0,31.321326,75.3968,20.6887,0.141656158
2011-05-01 00:20:00,2902878580,1200000000.0,32.815328,75.11903,21.547668,0.141710498
2011-05-01 00:30:00,2902878580,1800000000.0,41.63736,75.05408,31.063318,0.141678248
2011-05-01 00:40:00,2902878580,2400000000.0,52.176676,74.86383,62.480672,0.141631446
2011-05-01 00:50:00,2902878580,3000000000.0,39.68561,75.32658,43.089319,0.14157425
2011-05-01 01:00:00,2902878580,3600000000.0,61.4107243,75.62122,60.07100317,0.1415962967
2011-05-01 01:10:00,2902878580,4200000000.0,50.8611459,75.8758,47.20104321,0.1416573597
2011-05-01 01:20:00,2902878580,4800000000.0,47.741327,76.07499,38.254407,0.141631381
2011-05-01 01:30:00,2902878580,5400000000.0,46.649587,76.7834,43.945219,0.1416047267
2011-05-01 01:40:00,2902878580,6000000000.0,42.079074,76.42898,49.1622665,0.1416392537
2011-05-01 01:50:00,2902878580,6600000000.0,41.113362,76.03857,57.416093,0.141567821
2011-05-01 02:00:00,2902878580,7200000000.0,43.133143,76.38301,69.360351,0.1416486467
2011-05-01 02:10:00,2902878580,7800000000.0,39.985584,76.52046,63.970657,0.1416846574
2011-05-01 02:20:00,2902878580,8400000000.0,34.874653,75.91127,32.518642,0.14169825
2011-05-01 02:30:00,2902878580,9000000000.0,31.7014146,75.82994,19.10206949,0.141702167
2011-05-01 02:40:00,2902878580,9600000000.0,32.7575424,75.72936,27.16128366,0.141687062
2011-05-01 02:50:00,2902878580,10200000000.0,34.496843,75.8396,25.05838,0.141725022
2011-05-01 03:00:00,2902878580,10800000000.0,37.969202,76.26262,30.347478,0.1417658187
2011-05-01 03:10:00,2902878580,11400000000.0,36.9631429,76.25349,61.921130722,0.141837272
2011-05-01 03:20:00,2902878580,12000000000.0,50.3310575,76.02253,78.909129768,0.141732695
2011-05-01 03:30:00,2902878580,12600000000.0,54.969913,76.256,87.792418,0.141760358
2011-05-01 03:40:00,2902878580,13200000000.0,50.703399,76.14683,95.009823,0.1418373117
2011-05-01 03:50:00,2902878580,13800000000.0,42.216275,76.02468,71.17207,0.1419002667
2011-05-01 04:00:00,2902878580,14400000000.0,34.118242,75.78318,52.036308,0.141896438
2011-05-01 04:10:00,2902878580,15000000000.0,44.735166,75.811,49.129751,0.141873813
2011-05-01 04:20:00,2902878580,15600000000.0,31.666231,75.93964,24.816281,0.141853973
2011-05-01 04:30:00,2902878580,16200000000.0,37.49392,75.43335,30.172019,0.1417964987
2011-05-01 04:40:00,2902878580,16800000000.0,39.977548,75.4835,28.172123,0.141894547
2011-05-01 04:50:00,2902878580,17400000000.0,33.442295,75.44241,21.405606,0.1418974117
2011-05-01 05:00:00,2902878580,18000000000.0,33.327471,76.30594,26.173477,0.1418823757
2011-05-01 05:10:00,2902878580,18600000000.0,42.097321,75.98845,30.865549,0.141928167
2011-05-01 05:20:00,2902878580,19200000000.0,48.871469,75.82364,40.947714,0.14193096
2011-05-01 05:30:00,2902878580,19800000000.0,37.345401,75.57941,34.912105,0.141933768
2011-05-01 05:40:00,2902878580,20400000000.0,41.418745,75.49595,54.325775,0.141942376
2011-05-01 05:50:00,2902878580,21000000000.0,51.128427,76.23012,72.41653,0.141996667
2011-05-01 06:00:00,2902878580,21600000000.0,37.155287,76.05973,43.577806,0.14195377
2011-05-01 06:10:00,2902878580,22200000000.0,40.063833,75.63153,63.957835,0.141920338
2011-05-01 06:20:00,2902878580,22800000000.0,35.270138,75.44759,72.782732,0.141966238
2011-05-01 06:30:00,2902878580,23400000000.0,31.607696,75.28491,34.289061,0.1419824047
2011-05-01 06:40:00,2902878580,24000000000.0,42.072875,75.84708,42.196904,0.1419747907
2011-05-01 06:50:00,2902878580,24600000000.0,33.488143,75.60925,70.801252,0.141880414
2011-05-01 07:00:00,2902878580,25200000000.0,50.163738,75.34347,98.304682,0.1419451207
2011-05-01 07:10:00,2902878580,25800000000.0,62.605082,75.67857,77.427434,0.141979449
2011-05-01 07:20:00,2902878580,26400000000.0,71.402816,76.52854,63.254076,0.14198528
2011-05-01 07:30:00,2902878580,27000000000.0,47.78855,76.02281,41.627264,0.1419014947
2011-05-01 07:40:00,2902878580,27600000000.0,52.856707,75.79054,36.825536,0.1419519327
2011-05-01 07:50:00,2902878580,28200000000.0,44.20916,75.76476,35.442313,0.141918547
2011-05-01 08:00:00,2902878580,28800000000.0,48.653497,75.87644,54.703818,0.1419471967
2011-05-01 08:10:00,2902878580,29400000000.0,43.764226,75.53649,39.375912,0.1419956517
2011-05-01 08:20:00,2902878580,30000000000.0,48.782302,75.68591,47.713902,0.142035805
2011-05-01 08:30:00,2902878580,30600000000.0,37.469921,75.61663,38.32208,0.14205689
2011-05-01 08:40:00,2902878580,31200000000.0,40.685497,75.76213,47.370979,0.141993954
