,jID,moment,cpu_rate,mem_usage,disk_io_time,disk_space
2011-05-01 00:10:00,6176858948,600000000.0,0.0117403571847,0.0117403571847,0.0117403571847,0.477092720153
2011-05-01 00:20:00,6176858948,1200000000.0,0.00980706025852,0.00980706025852,0.00980706025852,0.476766909231
2011-05-01 00:30:00,6176858948,1800000000.0,0.0168484783387,0.0168484783387,0.0168484783387,0.476984150665
2011-05-01 00:40:00,6176858948,2400000000.0,0.00734708338508,0.00734708338508,0.00734708338508,0.476658328358
2011-05-01 00:50:00,6176858948,3000000000.0,0.0105940589364,0.0105940589364,0.0105940589364,0.476441234917
2011-05-01 01:00:00,6176858948,3600000000.0,0.0108463854252,0.0108463854252,0.0108463854252,0.476875774705
2011-05-01 01:10:00,6176858948,4200000000.0,0.00905164410952,0.00905164410952,0.00905164410952,0.477310189268
2011-05-01 01:20:00,6176858948,4800000000.0,0.0366638907533,0.0366638907533,0.0366638907533,0.477309802211
2011-05-01 01:30:00,6176858948,5400000000.0,0.0256088990362,0.0256088990362,0.0256088990362,0.477960945926
2011-05-01 01:40:00,6176858948,6000000000.0,0.0235078119332,0.0235078119332,0.0235078119332,0.477743658956
2011-05-01 01:50:00,6176858948,6600000000.0,0.0341174272851,0.0341174272851,0.0341174272851,0.478177914143
2011-05-01 02:00:00,6176858948,7200000000.0,0.0236694015357,0.0236694015357,0.0236694015357,0.478611987185
2011-05-01 02:10:00,6176858948,7800000000.0,0.0241034803841,0.0241034803841,0.0241034803841,0.478828887098
2011-05-01 02:20:00,6176858948,8400000000.0,0.029013892624,0.029013892624,0.029013892624,0.479046014691
2011-05-01 02:30:00,6176858948,9000000000.0,0.0167151851363,0.0167151851363,0.0167151851363,0.479371939453
2011-05-01 02:40:00,6176858948,9600000000.0,0.0178169903115,0.0178169903115,0.0178169903115,0.47796112807
2011-05-01 02:50:00,6176858948,10200000000.0,0.0238620779723,0.0238620779723,0.0238620779723,0.477852513046
2011-05-01 03:00:00,6176858948,10800000000.0,0.0182230664528,0.0182230664528,0.0182230664528,0.478503577073
2011-05-01 03:10:00,6176858948,11400000000.0,0.00834437462992,0.00834437462992,0.00834437462992,0.478503656761
2011-05-01 03:20:00,6176858948,12000000000.0,0.0187024253028,0.0187024253028,0.0187024253028,0.476983957136
2011-05-01 03:30:00,6176858948,12600000000.0,0.0101838408817,0.0101838408817,0.0101838408817,0.477743909405
2011-05-01 03:40:00,6176858948,13200000000.0,0.00957377608479,0.00957377608479,0.00957377608479,0.474812726739
