,jID,moment,cpu_rate,mem_usage,disk_io_time,disk_space
2011-05-01 00:10:00,6176858948,600000000.0,0.0117403571847,0.1587458,0.0062236321,0.004190895
2011-05-01 00:20:00,6176858948,1200000000.0,0.00980706025852,0.1649203,0.000704743,0.004188033
2011-05-01 00:30:00,6176858948,1800000000.0,0.0168484783387,0.18737062,0.0075681171,0.0041899413
2011-05-01 00:40:00,6176858948,2400000000.0,0.00734708338508,0.17028956,0.0015963639,0.0041870792
2011-05-01 00:50:00,6176858948,3000000000.0,0.0105940589364,0.1616685,0.0006170105,0.0041851722
2011-05-01 01:00:00,6176858948,3600000000.0,0.0108463854252,0.15593353,0.002476678,0.0041889893
2011-05-01 01:10:00,6176858948,4200000000.0,0.00905164410952,0.160236,0.0012149616,0.0041928053
2011-05-01 01:20:00,6176858948,4800000000.0,0.0366638907533,0.27270039,0.0030765375,0.0041928019
2011-05-01 01:30:00,6176858948,5400000000.0,0.0256088990362,0.25205624,0.0026187999,0.0041985217
2011-05-01 01:40:00,6176858948,6000000000.0,0.0235078119332,0.200382319,0.0137294674,0.004196613
2011-05-01 01:50:00,6176858948,6600000000.0,0.0341174272851,0.2464716,0.0106870247,0.0042004276
2011-05-01 02:00:00,6176858948,7200000000.0,0.0236694015357,0.26311219,0.0024299686,0.0042042406
2011-05-01 02:10:00,6176858948,7800000000.0,0.0241034803841,0.22098425,0.0086784692,0.0042061459
2011-05-01 02:20:00,6176858948,8400000000.0,0.029013892624,0.2509171,0.0010404431,0.0042080532
2011-05-01 02:30:00,6176858948,9000000000.0,0.0167151851363,0.2161358,0.0032578429,0.0042109162
2011-05-01 02:40:00,6176858948,9600000000.0,0.0178169903115,0.17822191,0.0085323504,0.0041985233
2011-05-01 02:50:00,6176858948,10200000000.0,0.0238620779723,0.20217232,0.0177186244,0.0041975692
2011-05-01 03:00:00,6176858948,10800000000.0,0.0182230664528,0.25783991,0.0051915939,0.0042032883
2011-05-01 03:10:00,6176858948,11400000000.0,0.00834437462992,0.183168173,0.0057525716,0.004203289
2011-05-01 03:20:00,6176858948,12000000000.0,0.0187024253028,0.1930441,0.0088558251,0.0041899396
2011-05-01 03:30:00,6176858948,12600000000.0,0.0101838408817,0.17683781,0.0014687282,0.0041966152
2011-05-01 03:40:00,6176858948,13200000000.0,0.00957377608479,0.1378277237,0.009263968,0.004170867
2011-05-01 03:50:00,6176858948,13800000000.0,0.00588506524041,0.1475452,0.0012197337,0.0041660963
2011-05-01 04:00:00,6176858948,14400000000.0,0.0151618446515,0.16925588,0.0074453112,0.0041670513
2011-05-01 04:10:00,6176858948,15000000000.0,0.0136915005232,0.17123337,0.0044604715,0.0041594199
